,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Minnedosa,CA,50.2453,-99.8436,12.83,96,89,4.99,overcast clouds
130,Chuy,UY,-33.6971,-53.4616,75.74,62,34,14.45,scattered clouds
131,Mangrol,IN,21.1167,70.1167,66.58,42,4,4.7,clear sky
132,Tianpeng,CN,30.9866,103.9393,39.63,51,1,3.06,clear sky
133,Mana,GF,5.6592,-53.7767,76.68,82,34,9.31,scattered clouds
134,Tual,ID,-5.6667,132.75,82.92,75,99,16.17,overcast clouds
135,Mbaiki,CF,3.8678,17.9892,73.72,36,99,0.96,overcast clouds
136,Adzope,CI,6.1069,-3.8619,77.65,75,34,4.03,scattered clouds
137,Provideniya,RU,64.3833,-173.3,-12.89,64,0,6.71,clear sky
138,Alihe,CN,50.5667,123.7167,-10.14,99,100,1.83,overcast clouds
139,Adwa,ET,14.1646,38.8955,61.27,57,2,3.85,clear sky
140,Comodoro Rivadavia,AR,-45.8667,-67.5,74.86,58,3,10.54,clear sky
141,Bukachacha,RU,52.9833,116.9167,-12.64,98,100,2.39,overcast clouds
142,Trujillo,PE,-8.116,-79.03,73.36,64,0,9.22,clear sky
143,Castro,BR,-24.7911,-50.0119,65.17,94,86,12.91,moderate rain
144,Chokurdakh,RU,70.6333,147.9167,-31.7,100,33,7.54,scattered clouds
145,Lavrentiya,RU,65.5833,-171.0,-22.49,93,11,7.14,few clouds
146,Dombarovskiy,RU,50.7587,59.5386,-2.45,78,84,3.85,broken clouds
147,Cidreira,BR,-30.1811,-50.2056,74.59,86,100,13.44,overcast clouds
148,Kununurra,AU,-15.7667,128.7333,76.98,94,100,0.0,overcast clouds
149,Bilma,NE,18.6853,12.9164,63.41,18,22,3.76,few clouds
150,Talnakh,RU,69.4865,88.3972,-26.19,84,100,5.68,overcast clouds
151,Kurovskoye,RU,55.5783,38.9108,31.89,89,99,15.86,overcast clouds
152,Kuldur,RU,49.2167,131.6333,-4.13,99,100,4.79,light snow
153,Nelson Bay,AU,-32.7167,152.15,72.09,96,100,11.01,light rain
154,Pobe,BJ,6.9801,2.6649,76.8,76,3,4.79,clear sky
155,Half Moon Bay,US,37.4636,-122.4286,59.0,74,0,8.05,clear sky
156,Bulgan,MN,48.8125,103.5347,-14.4,85,38,3.18,scattered clouds
157,Korla,CN,41.7597,86.1469,5.72,86,34,1.5,scattered clouds
158,Faanui,PF,-16.4833,-151.75,80.4,73,18,14.92,light rain
159,Don Benito,ES,38.9563,-5.8616,39.47,79,15,8.1,few clouds
160,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,105.22,18,1,5.5,clear sky
161,Ambulu,ID,-8.345,113.6058,76.44,90,100,3.4,overcast clouds
162,Salekhard,RU,66.53,66.6019,6.51,91,98,6.44,overcast clouds
163,Grindavik,IS,63.8424,-22.4338,18.07,79,0,9.22,clear sky
164,Anchorage,US,61.2181,-149.9003,26.85,89,0,6.91,fog
165,Grand Gaube,MU,-20.0064,57.6608,78.39,85,100,8.99,light rain
166,Bairiki,KI,1.3292,172.9752,82.4,83,75,8.05,light rain
167,Bathurst,AU,-33.4166,149.5806,66.72,99,100,2.37,light rain
168,Ishikari,JP,43.2397,141.3539,18.81,90,99,5.23,light snow
169,Ust-Tsilma,RU,65.441,52.1498,5.86,98,100,4.12,overcast clouds
170,Mogzon,RU,51.7435,111.9606,-12.66,84,100,12.64,overcast clouds
171,Pevek,RU,69.7008,170.3133,-31.79,100,100,3.6,overcast clouds
172,Santiago Del Estero,AR,-27.7951,-64.2615,104.41,21,7,11.3,clear sky
173,East London,ZA,-33.0153,27.9116,78.1,75,81,7.76,broken clouds
174,Tomatlan,MX,19.9333,-105.25,81.77,43,75,10.33,broken clouds
175,Na Klang,TH,17.3072,102.1889,61.68,71,3,1.36,clear sky
176,Fez,MA,34.0372,-4.9998,46.65,87,75,9.22,broken clouds
177,Qaanaaq,GL,77.484,-69.3632,-20.16,95,100,3.47,overcast clouds
178,Hauterive,FR,46.0901,3.4459,30.96,96,33,3.96,light snow
179,Kismayo,SO,-0.3582,42.5454,76.28,81,68,13.2,broken clouds
180,Mackay,AU,-21.15,149.2,78.67,80,51,19.51,broken clouds
181,Bonavista,CA,48.6499,-53.1147,37.08,93,100,17.54,overcast clouds
182,Guna,IN,24.65,77.3167,49.44,37,0,6.71,clear sky
183,Izacic,BA,44.875,15.7819,40.77,98,100,1.3,overcast clouds
184,Berbera,SO,10.4396,45.0143,74.79,74,80,6.08,broken clouds
185,Hakodate,JP,41.7758,140.7367,20.55,77,11,4.9,few clouds
186,Coronado,US,32.6859,-117.1831,64.53,55,75,10.36,broken clouds
187,Teseney,ER,15.11,36.6575,71.17,61,2,8.97,clear sky
188,Karratha,AU,-20.7377,116.8463,79.74,74,75,2.8,broken clouds
189,Pilas,ES,37.3034,-6.301,49.48,73,3,9.33,clear sky
190,Taitung,TW,22.7583,121.1444,63.03,81,18,10.87,few clouds
191,Leningradskiy,RU,69.3833,178.4167,-20.18,98,100,23.35,light snow
192,Richards Bay,ZA,-28.783,32.0377,79.16,73,13,14.45,few clouds
193,Mokrousovo,RU,55.8103,66.7653,9.23,86,89,8.08,overcast clouds
194,Beringovskiy,RU,63.05,179.3167,-23.6,94,26,6.04,scattered clouds
195,Villarrica,PY,-25.75,-56.4333,92.12,43,61,3.29,broken clouds
196,Annau,TM,37.8876,58.516,31.93,70,1,1.7,clear sky
197,Longyearbyen,SJ,78.2186,15.6401,6.64,72,0,9.22,clear sky
198,Tuktoyaktuk,CA,69.4541,-133.0374,0.36,96,100,7.63,overcast clouds
199,Progreso,MX,21.2833,-89.6667,87.91,39,54,8.32,broken clouds
200,Boca Do Acre,BR,-8.7522,-67.3978,72.32,98,100,4.63,overcast clouds
201,Lagoa,PT,39.05,-27.9833,55.67,67,4,6.71,clear sky
202,Lloydminster,CA,53.2835,-110.0016,25.84,90,100,8.21,overcast clouds
203,Jeronimo Monteiro,BR,-20.7894,-41.395,75.45,94,28,3.49,scattered clouds
204,Hofn,IS,64.2539,-15.2082,28.26,61,12,27.72,few clouds
205,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,16.11,scattered clouds
206,Saint Anthony,US,45.0205,-93.218,33.91,83,100,13.8,overcast clouds
207,Upernavik,GL,72.7868,-56.1549,-15.41,81,99,4.68,overcast clouds
208,Iisalmi,FI,63.5592,27.1907,32.25,90,100,7.07,overcast clouds
209,Oga,IT,46.4631,10.347,21.69,96,98,4.9,overcast clouds
210,Forio,IT,40.7342,13.8646,55.78,84,85,1.99,overcast clouds
211,Ladwa,IN,29.9944,77.0444,51.73,53,100,6.08,overcast clouds
212,Navolato,MX,24.7672,-107.6944,81.64,31,13,12.17,few clouds
213,Beloha,MG,-25.1667,45.05,73.94,76,0,13.65,clear sky
214,Ribeira Grande,PT,38.5167,-28.7,54.0,82,20,8.05,few clouds
215,Mazara Del Vallo,IT,37.6641,12.588,51.93,72,91,21.85,overcast clouds
216,Ostrovnoy,RU,68.0531,39.5131,25.68,88,100,16.71,overcast clouds
217,Khani,GE,41.9563,42.9566,36.97,65,91,6.49,overcast clouds
218,San Patricio,US,28.017,-97.5169,85.95,46,74,15.14,broken clouds
219,Custoias,PT,41.1053,-7.321,38.14,84,9,5.1,clear sky
220,Kavieng,PG,-2.5744,150.7967,82.78,74,97,9.42,overcast clouds
221,Chernyshevskiy,RU,63.0128,112.4714,-38.18,100,100,2.01,overcast clouds
222,Alta Floresta,BR,-9.8756,-56.0861,76.44,93,100,3.24,overcast clouds
223,Laguna,US,38.421,-121.4238,56.32,70,0,12.66,clear sky
224,Urumqi,CN,43.801,87.6005,-10.25,84,75,2.24,mist
225,Insar,RU,53.8653,44.3738,18.61,87,100,13.33,overcast clouds
226,Thinadhoo,MV,0.5333,72.9333,81.32,76,20,9.01,few clouds
227,Port Alfred,ZA,-33.5906,26.891,77.18,82,100,4.0,overcast clouds
228,Beian,NO,63.6559,9.5683,35.01,74,20,11.5,few clouds
229,Bengkulu,ID,-3.8004,102.2655,74.28,91,77,4.16,broken clouds
230,Priiskovyy,RU,51.9333,116.6333,-10.53,97,100,6.6,overcast clouds
231,Norman Wells,CA,65.282,-126.8329,-2.42,98,100,3.65,overcast clouds
232,Paita,PE,-5.0892,-81.1144,75.69,65,35,15.14,scattered clouds
233,Khash,IR,28.2211,61.2158,41.0,80,100,5.06,overcast clouds
234,Lagos,NG,6.5833,3.75,78.46,82,67,6.04,broken clouds
235,Benguela,AO,-12.5763,13.4055,77.56,78,100,5.82,overcast clouds
236,Portobelo,PA,9.55,-79.65,85.96,70,81,10.0,broken clouds
237,Kisesa,TZ,-3.0833,34.15,63.97,90,100,8.23,light rain
238,Pangnirtung,CA,66.1451,-65.7125,-11.22,69,97,4.5,overcast clouds
239,Kamaishi,JP,39.2667,141.8833,29.46,71,18,4.16,few clouds
240,La Palma,US,33.8464,-118.0467,63.91,59,75,4.61,broken clouds
241,Shenjiamen,CN,29.9576,122.298,41.58,54,0,6.69,clear sky
242,Nyurba,RU,63.2842,118.3319,-69.27,100,66,1.83,broken clouds
243,Chiang Khong,TH,20.2613,100.4046,58.03,96,2,1.68,clear sky
244,Chicama,PE,-7.8447,-79.1469,72.14,53,55,10.49,broken clouds
245,Ishigaki,JP,24.3448,124.1572,60.93,88,100,17.27,overcast clouds
246,Trelew,AR,-43.249,-65.3051,85.75,36,90,18.88,overcast clouds
247,Soyo,AO,-6.1349,12.3689,79.93,85,100,7.27,light rain
