,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Yulara,AU,73.8,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
429,Souillac,MU,79.18,moderate rain,-20.5167,57.5167,Hotel SkylineInn
431,Pombas,CV,71.38,clear sky,17.1503,-25.0201,Aldeia Jerome
435,Presidente Epitacio,BR,84.65,overcast clouds,-21.7633,-52.1156,Pousada Orla do Sol
436,Linhares,BR,76.06,scattered clouds,-19.3911,-40.0722,Days Inn Linhares
456,Los Andes,CL,87.01,clear sky,-32.8337,-70.5983,Hotel Gloria
473,Bowen,AU,75.31,scattered clouds,-20.0167,148.2333,Whitsunday Sands Resort
477,Dakar,SN,74.28,clear sky,14.6937,-17.4441,翁记小吃
478,Asuncion Nochixtlan,MX,75.78,clear sky,17.4667,-97.2333,Hotel Rincón de los 3 Ángeles
493,Tocopilla,CL,73.33,scattered clouds,-22.092,-70.1979,hotel Isidora
498,Saint-Pierre,RE,77.92,light rain,-21.3393,55.4781,Tropic Hotel
503,Kisangani,CD,75.42,broken clouds,0.5167,25.2,Le Chalet
504,Nieuw Amsterdam,SR,82.56,few clouds,5.8833,-55.0833,Leonsberg Lodge
509,Ruwi,OM,73.09,broken clouds,23.5996,58.5507,Sheraton Oman
514,Rio Gallegos,AR,78.85,scattered clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
515,Marsh Harbour,BS,73.78,few clouds,26.5412,-77.0636,Lofty Fig Villas
519,Sur,OM,71.87,broken clouds,22.5667,59.5289,Sur Hotel
522,Cockburn Town,TC,76.08,clear sky,21.4612,-71.1419,The Salt Raker Inn
524,Cuenca,EC,71.73,moderate rain,-2.8833,-78.9833,Hostal Astoria
527,Tevaitoa,PF,80.42,light rain,-16.7833,-151.5,Chambre d'hote
532,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Tara-Mé
534,Port Macquarie,AU,73.89,overcast clouds,-31.4333,152.9167,The Observatory
537,Ladario,BR,89.89,few clouds,-19.0047,-57.6017,Hotel Gold Fish
538,El Tigre,VE,82.56,overcast clouds,8.8875,-64.2454,Hotel La Llovizna
541,Tres Arroyos,AR,83.64,overcast clouds,-38.3739,-60.2798,Andrea Hotel
543,Lazaro Cardenas,MX,79.21,scattered clouds,17.9583,-102.2,Hotel Sol del Pacífico
550,Ende,ID,77.38,moderate rain,-8.8432,121.6623,LCR Hotel
552,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,Hotel del Valle
561,Puri,IN,70.32,scattered clouds,19.8,85.85,Divine Beach Homestay
563,Sangmelima,CM,70.47,overcast clouds,2.9333,11.9833,Hôtel l'Afamba
565,Manaure,CO,86.27,clear sky,11.7751,-72.4445,hotel palaima
574,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue
577,Vanimo,PG,76.3,overcast clouds,-2.6741,141.3028,CBC Guesthouse
583,Mercedes,AR,84.78,light rain,-34.6515,-59.4307,Gran Hotel Mercedes
585,Huarmey,PE,74.68,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
586,Sambava,MG,77.31,heavy intensity rain,-14.2667,50.1667,Royal Sava Hôtel
590,Pochutla,MX,84.81,scattered clouds,15.7432,-96.4661,Posada San Jose
591,Acajutla,SV,82.29,clear sky,13.5928,-89.8275,Hotel Lara
592,Kuantan,MY,75.31,few clouds,3.8077,103.326,Shahzan Inn
594,Dunmore Town,BS,74.82,clear sky,25.5,-76.65,The Landing Hotel & Restaurant
596,Illapel,CL,79.75,clear sky,-31.6308,-71.1653,Domingo Ortiz de Rosas
597,Vieques,PR,80.62,scattered clouds,18.425,-65.8329,Hyatt Regency Grand Reserve Puerto Rico
602,Pisco,PE,74.01,mist,-13.7,-76.2167,La Portada
603,Mahebourg,MU,79.09,moderate rain,-20.4081,57.7,Grand Bel Air
612,Bubaque,GW,78.03,clear sky,11.2833,-15.8333,Chez Julio
